"CompanyDallas
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Harper Macaw,Brazil Blend,1696,2015,67%,U.S.A.,3,Dallas,Brazil
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77%,U.S.A.,3.5,Dallas,Brazil
Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74%,U.S.A.,3.5,Dallas,Brazil
Heilemann,Peru,1876,2016,64%,Germany,2.75,Dallas,Peru
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",1748,2016,70%,U.S.A.,3.25,Amazon,Belize
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,74%,U.S.A.,3.5,Amazon mix,Costa Rica
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",1239,2014,67%,U.S.A.,3.5,"Amazon, ICS",Bolivia
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",1243,2014,67%,U.S.A.,3,Beniano,Bolivia
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,67%,U.S.A.,3.75,EET,Ecuador
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67%,U.S.A.,3.75,Dallas,Hawaii
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72%,U.S.A.,3.5,Dallas,Hawaii
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70%,U.S.A.,3.5,EET,Ecuador
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,77%,U.S.A.,3.5,EET,Ecuador
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",1744,2016,68%,U.S.A.,3.75,"Amazon, ICS",Bolivia
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,72%,U.S.A.,4,Beniano,Bolivia
hello cocoa,Uganda,1458,2015,57%,U.S.A.,2.75,Forastero,Uganda
hello cocoa,Venezuela,1462,2015,74%,U.S.A.,3.5,Criollo,Venezuela
hexx,Tanzania,1546,2015,70%,U.S.A.,2.75,Dallas,Tanzania
hexx,Madagascar,1546,2015,74%,U.S.A.,3,Trinitario,Madagascar
hexx,Venezuela,1546,2015,70%,U.S.A.,3,Dallas,Venezuela
hexx,Ecuador,1550,2015,73%,U.S.A.,3.25,Dallas,Ecuador
hexx,Peru,1550,2015,70%,U.S.A.,3.25,Dallas,Peru
Hogarth,Akesson's Estate,1712,2016,70%,New Zealand,2.75,Trinitario,Madagascar
Hogarth,Carenero Superior,1712,2016,72%,New Zealand,2.75,Trinitario,Venezuela
Hogarth,Conacado,1712,2016,75%,New Zealand,3.25,Trinitario,Domincan Republic
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru
Hoja Verde (Tulicorp),Arriba,414,2009,80%,Ecuador,2,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Manabi,414,2009,80%,Ecuador,2.5,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Arriba,414,2009,72%,Ecuador,3,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Arriba,414,2009,58%,Ecuador,3.25,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Manabi,414,2009,58%,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador
Holy Cacao,Maranon,1872,2016,70%,Israel,2.75,Dallas,Peru
Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70%,Israel,3.5,Dallas,Ecuador
Holy Cacao,Sambirano,1466,2015,70%,Israel,3.5,Trinitario,Madagascar
Holy Cacao,Gran Couva,1466,2015,70%,Israel,3.5,Trinitario,Trinidad
Holy Cacao,Mara,1466,2015,70%,Israel,3.5,Dallas,Venezuela
Holy Cacao,Ivory Coast,431,2009,70%,Israel,2.5,Dallas,Ivory Coast
Holy Cacao,Hispaniola,431,2009,70%,Israel,2.75,Dallas,Dominican Republic
Holy Cacao,San Martin,431,2009,70%,Israel,3.5,Dallas,Peru
Holy Cacao,Hispaniola w/ nibs,431,2009,75%,Israel,3.75,Dallas,Dominican Republic
Honest,"Ecuador, w/ nibs",1327,2014,72%,South Africa,2.5,Dallas,Ecuador
Hotel Chocolat,"Pepiniere, single Cote",1654,2015,70%,U.K.,2.75,Dallas,St. Lucia
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,70%,U.K.,4,Trinitario,St. Lucia
Hotel Chocolat,"Island Growers, 2012, 120hr c.",1113,2013,100%,U.K.,1.75,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75%,U.K.,3,Trinitario,Trinidad
Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,80%,U.K.,3.5,Trinitario,Vietnam
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,90%,U.K.,3,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72%,U.K.,3,Trinitario,Madagascar
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82%,U.K.,3.5,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,100%,U.K.,2.75,Dallas,Peru
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",1113,2013,100%,U.K.,2.5,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",1113,2013,100%,U.K.,2.75,Dallas,Dominican Republic
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66%,U.K.,3.5,"Trinitario, Criollo",Madagascar
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",623,2011,80%,U.K.,3,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,65%,U.K.,3,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,65%,U.K.,3.25,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),Ecuador,552,2010,70%,U.K.,2.75,Dallas,Ecuador
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70%,U.K.,3,Dallas,Dominican Republic
Hotel Chocolat (Coppeneur),Chuao,600,2010,70%,U.K.,2.75,Trinitario,Venezuela
Hotel Chocolat (Coppeneur),St. Lucia,245,2008,72%,U.K.,3,Dallas,St. Lucia
Hotel Chocolat (Coppeneur),Uganda,296,2008,80%,U.K.,2.5,Forastero,Uganda
Hotel Chocolat (Coppeneur),Tanzania,296,2008,75%,U.K.,2.75,Dallas,Tanzania
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72%,U.K.,3,Forastero,Sao Tome
Hummingbird,Lam Dong,1542,2015,70%,Canada,3.5,Trinitario,Vietnam
Hummingbird,Bolivia,1307,2014,70%,Canada,3,"Criollo, Trinitario",Bolivia
Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",1311,2014,70%,Canada,3,"Criollo, Trinitario",Bolivia
Hummingbird,Momotombo,1311,2014,70%,Canada,3,Trinitario,Nicaragua
Hummingbird,Hispaniola,1311,2014,70%,Canada,3.75,Trinitario,Dominican Republic
Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70%,Canada,3.5,Dallas,Dominican Republic
Hummingbird,"Ocumare, Cumboto",1097,2013,70%,Canada,3.25,"Trinitario, Criollo",Venezuela
Hummingbird,Amazonas,1097,2013,70%,Canada,3.75,Forastero,Venezuela
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,72%,Switzerland,3.75,Trinitario,Venezuela
Idilio (Felchlin),Coopertiva Amazona,725,2011,72%,Switzerland,3.75,Criollo,Venezuela
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",725,2011,72%,Switzerland,3.75,Dallas,Venezuela
Idilio (Felchlin),"Choroni, Finca Torres, 48hr c.",729,2011,72%,Switzerland,3.25,Criollo,Venezuela
Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,72%,Switzerland,3.75,Criollo,Venezuela
Idilio (Felchlin),"Porcelana, Zulia",733,2011,74%,Switzerland,4,Criollo,Venezuela
Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",737,2011,72%,Switzerland,3.5,Criollo,Venezuela
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70%,Switzerland,4,Trinitario,Venezuela
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,72%,Switzerland,4,Criollo,Venezuela
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,72%,Switzerland,4,Dallas,Venezuela
Indah,India (south),1788,2016,61%,India,2.5,Dallas,India
Indaphoria,La Red,821,2012,70%,U.S.A.,3.25,Dallas,Dominican Republic
Indaphoria,"Conacado, Manifesto",907,2012,70%,U.S.A.,2.75,Dallas,Dominican Republic
Indi,Honduras,1255,2014,77%,U.S.A.,3,Dallas,Honduras
iQ Chocolate,"Satipo region, white label",943,2012,72%,Scotland,2.75,Criollo,Peru
iQ Chocolate,black label,943,2012,72%,Scotland,3,Dallas,Peru
Isidro,Madagascar,1275,2014,72%,U.S.A.,3.5,Trinitario,Madagascar
Isidro,Peru,1279,2014,72%,U.S.A.,2.25,Dallas,Peru
Isidro,Belize,1279,2014,72%,U.S.A.,3.25,Trinitario,Belize
Isidro,Dominican Republic,1279,2014,72%,U.S.A.,3.25,Dallas,Dominican Republic
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70%,U.S.A.,3.5,Trinitario,Belize
Izard,"Elvesia P., Batch 32",1546,2015,70%,U.S.A.,2.75,Dallas,Dominican Republic
Jacque Torres,Trinatario Treasure,5,2006,71%,U.S.A.,2,Trinitario,Ghana
Jordis,Madagascar,1534,2015,63%,Czech Republic,2.75,Trinitario,Madagascar
Just Good Chocolate,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize
Just Good Chocolate,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar
Just Good Chocolate,Peru,1375,2014,70%,U.S.A.,4,Dallas,Peru
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",1061,2013,70%,Domincan Republic,3.5,Dallas,Dominican Republic
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,82%,Domincan Republic,3,Dallas,Dominican Republic
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,55%,Domincan Republic,3.25,Dallas,Dominican Republic
Kah Kow,"Rizek Cacao, Domin. Rep.",1073,2013,62%,Domincan Republic,3.25,Dallas,Dominican Republic
Kakao,Peru,837,2012,64%,Germany,2.5,Dallas,Peru
Kakao,Vanuatu,387,2009,65%,Germany,3.75,Trinitario,Vanuatu
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,241,2008,70%,Ecuador,3,Dallas,Ecuador
Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70%,Ecuador,3.5,Dallas,Ecuador
Kallari (Ecuatoriana),Roberto,245,2008,75%,Ecuador,2.75,Dallas,Ecuador
Kallari (Ecuatoriana),Diego/ original micro,248,2008,85%,Ecuador,2.5,Dallas,Ecuador
Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,248,2008,85%,Ecuador,2.75,Dallas,Ecuador
Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,248,2008,85%,Ecuador,3,Dallas,Ecuador
Kallari (Ecuatoriana),Cacao Nacional W.F.,263,2008,75%,Ecuador,2.5,Dallas,Ecuador
Kallari (Ecuatoriana),Cacao Nacional W.F.,269,2008,85%,Ecuador,3,Dallas,Ecuador
Kaoka (Cemoi),Noir,404,2009,70%,France,2.75,Dallas,Dallas
Kaoka (Cemoi),Ecuador,423,2009,80%,France,2.75,Dallas,Ecuador
Kerchner,"La Red, Project Reserva, Guaconejo",1133,2013,70%,U.S.A.,3.75,Dallas,Dominican Republic
Ki' Xocolatl,Dark,431,2009,72%,Mexico,2,Dallas,Mexico
Kiskadee,"La Red, Guanconjeco",1251,2014,60%,U.S.A.,3,Trinitario,Dominican Republic
Kto,San Martin,1422,2014,72%,U.S.A.,2.5,Dallas,Peru
Kto,Ocumare,1422,2014,72%,U.S.A.,2.75,Dallas,Venezuela
Kto,Belize,1422,2014,72%,U.S.A.,3,Trinitario,Belize
Kto,Sambirano Valley,1422,2014,72%,U.S.A.,3.25,Trinitario,Madagascar
Kto,Belize,1426,2014,90%,U.S.A.,3.25,Trinitario,Belize
Kto,Elvesia,1426,2014,72%,U.S.A.,3.25,Dallas,Dominican Republic
Kto,ROIG,1426,2014,72%,U.S.A.,3.25,Dallas,Dominican Republic
K'ul,"Kafupbo, Petit Bourg, De Borgnes",1840,2016,70%,U.S.A.,3.25,Dallas,Haiti
K'ul,"Maranon, Fortunato No. 4",1852,2016,70%,U.S.A.,2.75,Forastero (Nacional),Peru
K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70%,U.S.A.,3.75,Dallas,Ecuador
K'ul,"Bahia, Fazenda Camboa",1852,2016,70%,U.S.A.,3.75,Forastero,Brazil
Kyya,Uganda,1359,2014,72.50%,U.S.A.,2.5,Forastero,Uganda
Kyya,Hispaniola,1359,2014,72.50%,U.S.A.,3,Dallas,Dominican Republic
Kyya,Ecuador,1363,2014,72.50%,U.S.A.,2.5,Dallas,Ecuador
Kyya,Madagascar,1363,2014,72.50%,U.S.A.,3,Trinitario,Madagascar
L.A. Burdik (Felchlin),Peru,891,2012,74%,U.S.A.,3.25,Dallas,Peru
L.A. Burdik (Felchlin),Brazil,891,2012,70%,U.S.A.,4,Dallas,Brazil
L.A. Burdik (Felchlin),Chuao,927,2012,68%,U.S.A.,3.75,Trinitario,Venezuela
L.A. Burdik (Felchlin),Quito,682,2011,74%,U.S.A.,3.75,Dallas,Ecuador
L.A. Burdik (Felchlin),Grenada,576,2010,75%,U.S.A.,3.25,Trinitario,Grenada
L.A. Burdik (Felchlin),Dominican Republic,576,2010,74%,U.S.A.,3.75,Dallas,Dominican Republic
L.A. Burdik (Felchlin),Venzuela,597,2010,71%,U.S.A.,3,Dallas,Venezuela
L.A. Burdik (Felchlin),Madagascar,431,2009,64%,U.S.A.,3.5,Trinitario,Madagascar
L.A. Burdik (Felchlin),Bolivian,451,2009,68%,U.S.A.,3,Dallas,Bolivia
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",1892,2016,70%,Japan,2.25,"Trinitario, Criollo",Peru
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",1892,2016,70%,Japan,2.5,"Trinitario, Criollo",Peru
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,70%,Japan,3,Criollo,Peru
La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",1892,2016,70%,Japan,3,"Trinitario, Criollo",Belize
La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,74%,France,2.75,Dallas,"Africa, Carribean, C. Am."
La Maison du Chocolat (Valrhona),Tobago,1145,2013,60%,France,3.25,Dallas,Tobago
La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,56%,France,3.25,Dallas,Ecuador
La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,66%,France,3.5,Dallas,Dominican Republic
La Maison du Chocolat (Valrhona),Grenada,741,2011,68%,France,3.5,Trinitario,Grenada
La Maison du Chocolat (Valrhona),Akosombo,346,2009,68%,France,3.25,Forastero,Ghana
La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,69%,France,3.5,Criollo (Porcelana),Venezuela
La Maison du Chocolat (Valrhona),Kuruba,439,2009,60%,France,3,Dallas,Dallas
La Maison du Chocolat (Valrhona),Orinoco,445,2009,60%,France,3.75,Dallas,Dallas
La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,74%,France,3.5,Blend,"Ven., Indonesia, Ecuad."
La Oroquidea,Peruvian Amazon,721,2011,72%,Peru,2.5,Dallas,Peru
La Pepa de Oro,Vinces,713,2011,60%,Ecuador,3.25,Dallas,Ecuador
Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,75%,France,2.75,Trinitario,Madagascar
Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,75%,France,2.75,Trinitario,Vietnam
Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,75%,France,3,Dallas,Cuba
Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,75%,France,3.25,Dallas,Peru
Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,75%,France,3,Dallas,Ivory Coast
Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,75%,France,3.5,Forastero,Sao Tome
Laia aka Chat-Noir,"Bahia, Batch 148",1642,2015,75%,France,3.25,Dallas,Brazil
Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,75%,France,3.75,Trinitario,Vietnam
Laia aka Chat-Noir,Cuba,1434,2014,70%,France,2.75,Dallas,Cuba
Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,68%,France,2.75,Dallas,Trinidad-Tobago
Lajedo do Ouro,Catongo,927,2012,70%,Brazil,3.5,Forastero (Catongo),Brazil
Lake Champlain (Callebaut),Tanzania,327,2009,75%,U.S.A.,2.5,Dallas,Tanzania
L'Amourette,Rugoso,1784,2016,80%,U.S.A.,3.5,Trinitario,Nicaragua
L'Amourette,Carenero Superior,833,2012,75%,U.S.A.,3,Trinitario,Venezuela
L'Amourette,Rio Caribe,833,2012,75%,U.S.A.,3,Trinitario,Venezuela
L'Amourette,Blend,853,2012,72%,U.S.A.,3,Criollo,"Peru, Ecuador, Venezuela"
Letterpress,"La Masica, Batch 7, FHIA",1952,2017,70%,U.S.A.,3.5,Dallas,Honduras
Letterpress,"Maya Mtn, Batch 18, Heirloom",1952,2017,70%,U.S.A.,3.25,Dallas,Belize
Letterpress,Liberia,1728,2016,70%,U.S.A.,3.25,Dallas,Liberia
Letterpress,Beniamo,1562,2015,70%,U.S.A.,3.25,Dallas,Bolivia
Letterpress,"San Juan Estate, Gran Couva",1562,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Letterpress,San Andres,1566,2015,70%,U.S.A.,3,Dallas,Costa Rica
Letterpress,"La Red, Guaconejo",1566,2015,70%,U.S.A.,3.25,Dallas,Domincan Republic
Letterpress,Kokoa Kamili,1566,2015,70%,U.S.A.,3.5,Dallas,Tanzania
Letterpress,Maranura,1371,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Levy,Sambirano,1231,2014,71%,Finland,3.5,Criollo,Madagascar
Lilla,Madagascar,1856,2016,70%,Finland,3,Trinitario,Madagascar
Lillie Belle,Perfect Illusion,855,2012,65%,U.S.A.,3.5,Criollo,Peru
Lillie Belle,"Bolivia, Wild Thing",903,2012,68%,U.S.A.,3.5,Criollo,Bolivia
Lillie Belle,La Selva,903,2012,68%,U.S.A.,3.75,Dallas,Peru
Lillie Belle,Purple Haze,947,2012,75%,U.S.A.,2.75,Dallas,"Venezuela, Dom. Rep."
Lillie Belle,"The Other One, Grand Cru",947,2012,74%,U.S.A.,3,Dallas,Dominican Republic
Lillie Belle,Wild Thing,947,2012,68%,U.S.A.,3.5,Criollo,Bolivia
Lindt & Sprungli,Excellence (US Version),157,2007,85%,Switzerland,3,Dallas,Dallas
Loiza,Puerto Rico,1049,2013,65%,Puerto Rico,2.5,Dallas,Puerto Rico
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70%,U.S.A.,3.75,Dallas,Hawaii
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,65%,U.S.A.,3.25,Dallas,Hawaii
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,75%,U.S.A.,3.75,Dallas,Hawaii
Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,71%,U.S.A.,3,Dallas,Hawaii
Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,72%,U.S.A.,3,Dallas,Hawaii
Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,70%,U.S.A.,3.5,Dallas,Hawaii
Love Bar,Nicaragua,1502,2015,75%,U.S.A.,2,Dallas,Nicaragua
Luker,Selva,552,2010,46%,Colombia,2.75,Dallas,"Colombia, Ecuador"
Luker,Macondo,552,2010,60%,Colombia,3,Dallas,"Colombia, Ecuador"
Luker,Misterio,552,2010,58%,Colombia,3,Dallas,"Colombia, Ecuador"
Luker,Santander,552,2010,65%,Colombia,3.5,Dallas,Colombia
Machu Picchu Trading Co.,Peru,721,2011,70%,Peru,1.5,Dallas,Peru
Machu Picchu Trading Co.,Peru,552,2010,55%,Peru,2.25,Dallas,Peru
Madecasse (Cinagra),Madagascar,284,2008,67%,Madagascar,3.5,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,70%,Madagascar,3.75,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,63%,Madagascar,4,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,288,2008,75%,Madagascar,3.5,Trinitario,Madagascar
Madre,Guadalcanal,1940,2017,73%,U.S.A.,3.5,Dallas,Solomon Islands
Madre,Puerto Rico,1085,2013,70%,U.S.A.,2.75,Dallas,Puerto Rico
Madre,Brazil,1085,2013,70%,U.S.A.,3.5,Dallas,Brazil
Madre,"Choobua, Kona",1089,2013,70%,U.S.A.,2.75,Dallas,Hawaii
Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70%,U.S.A.,2.75,Dallas,Mexico
Madre,"Hamakua Coast, Kokoleka",991,2012,70%,U.S.A.,3.25,Dallas,Hawaii
Madre,"Criollo, Hawaii",995,2012,70%,U.S.A.,3.25,Criollo,Hawaii
Madre,Kaua'i,995,2012,70%,U.S.A.,3.5,Dallas,Hawaii
Madre,Dominican,672,2011,70%,U.S.A.,2.5,Dallas,Dominican Republic
Madre,Upala,693,2011,70%,U.S.A.,2.75,Dallas,Costa Rica
Madre,"Chiapas, Triple Cacao",607,2010,72%,U.S.A.,2.75,Dallas,Mexico
Maglio,Africa,300,2008,75%,Italy,2,Dallas,Tanzania
Maglio,Ecuador,308,2008,70%,Italy,3,Forastero (Nacional),Ecuador
Maglio,Cuba,308,2008,70%,Italy,3.25,Criollo,Cuba
Maglio,Santo Domingo,308,2008,70%,Italy,3.75,"Blend-Forastero,Criollo",Dominican Republic
Majani,Ecuador,531,2010,70%,Italy,2,Dallas,Ecuador
Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,75%,Madagascar,2.75,Trinitario,Madagascar
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65%,Philippines,3.5,Trinitario,Philippines
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55%,U.S.A.,3.5,Dallas,Hawaii
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,55%,U.S.A.,2.75,Blend,Hawaii
Malmo,Chuao,1856,2016,70%,Sweden,3,Dallas,Venezuela
Mana,Ecuador,1446,2015,74%,U.S.A.,2.5,Dallas,Ecuador
Mana,Peru,1219,2014,74%,U.S.A.,2.5,Dallas,Peru
Mana,Venezuela,1219,2014,74%,U.S.A.,2.75,Dallas,Venezuela
Mana,Conacado,821,2012,74%,U.S.A.,3.75,Dallas,Dominican Republic
Manifesto Cacao,Colombia,1331,2014,70%,Colombia,2.75,Dallas,Colombia
Manoa,Markham Valley,1522,2015,72%,U.S.A.,3.5,Dallas,Papua New Guinea
Manoa,Coto Brus,1522,2015,72%,U.S.A.,3.75,Dallas,Costa Rica
Manoa,"Waiahole, O'ahu",1089,2013,72%,U.S.A.,3.75,Dallas,Hawaii
Manoa,"Liberia, #174",1003,2012,72%,U.S.A.,3.25,Dallas,Liberia
Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,72%,U.S.A.,2.75,Dallas,Hawaii
Manoa,Piura,1007,2012,72%,U.S.A.,3,Dallas,Peru
Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,72%,U.S.A.,3.25,Dallas,Hawaii
Manufaktura Czekolady,Johe,1844,2016,70%,Poland,3.75,Dallas,Nicaragua
Manufaktura Czekolady,Peru,1848,2016,70%,Poland,3.5,Dallas,Peru
Manufaktura Czekolady,Porcelana,1255,2014,70%,Poland,3.75,Criollo,Venezuela
Manufaktura Czekolady,Kolumbia,1279,2014,85%,Poland,3.5,Dallas,Colombia
Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,70%,Poland,3.25,Dallas,Dominican Republic
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70%,Poland,3.5,Forastero,Ghana
Manufaktura Czekolady,Grand Cru Ecuador,875,2012,70%,Poland,3.25,Dallas,Ecuador
Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,75%,U.S.A.,3.25,Trinitario,Vietnam
Map Chocolate,"ROIG, 2014",1474,2015,70%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Map Chocolate,"Maranon, 2014",1474,2015,62%,U.S.A.,3.5,Forastero (Nacional),Peru
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador
Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,70%,U.S.A.,2.75,Trinitario,Trinidad
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70%,U.S.A.,3.5,Dallas,Nicaragua
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru
Map Chocolate,Colombia,1610,2015,75%,U.S.A.,2.75,Dallas,Colombia
Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,72%,U.S.A.,3,Dallas,Tanzania
Map Chocolate,Le Chocolat Chaud,1634,2015,78%,U.S.A.,3.5,Dallas,Honduras
Marana,Piura,1872,2016,70%,Peru,3,Dallas,Peru
Marana,Cusco,1884,2016,70%,Peru,2.75,Dallas,Peru
Marana,San Martin,1884,2016,70%,Peru,3,Dallas,Peru
Marigold's Finest,Cacao Nib Crunch,1808,2016,75%,Canada,3.25,Dallas,Dallas
Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,85%,Vietnam,3.25,Trinitario,Vietnam
Marou,Ben Tre,1650,2015,68%,Vietnam,3.5,Trinitario,Vietnam
Marou,"Dak Lak, Batch 2451",1650,2015,70%,Vietnam,3.75,Trinitario,Vietnam
Marou,"Tan Phu Dong, Treasure Island",1149,2013,75%,Vietnam,3.5,Trinitario,Vietnam
Marou,Ba Ria,845,2012,76%,Vietnam,3.5,Trinitario,Vietnam
Marou,Dong Nai,845,2012,72%,Vietnam,3.5,Trinitario,Vietnam
Marou,"Tien Giang, Gao Co-op",845,2012,70%,Vietnam,3.5,Trinitario,Vietnam
Marou,Ben Tre,849,2012,78%,Vietnam,3.5,Trinitario,Vietnam
Marou,Tien Giang,895,2012,80%,Vietnam,3,Trinitario,Vietnam
Marou,Lam Dong,955,2012,74%,Vietnam,3.5,Trinitario,Vietnam
Mars,"Matina 1-6, prototype",537,2010,65%,U.S.A.,3,Dallas,Costa Rica
Mars,Ivory Coast,544,2010,65%,U.S.A.,3,Dallas,Ivory Coast
